name;count
Juliana;644
Michaela;642
Miriam;638
Benita;636
Essi;635
Peppi;635
Rebecca;634
Fanni;632
Armi;630
Elma;630
Kati;628
Elin;627
Laila;616
Hilla;613
Mervi;610
Ahmed;609
Ann-Mari;606
Tanja;606
Minerva;603
Anna-Maija;594
Selma;584
Senja;581
Lucia;578
Taika;575
Synnöve;574
Greta;570
Felicia;568
Mailis;568
Beata;566
Micaela;560
Sophie;560
Aira;557
Valentina;556
Oili;547
Saima;546
Sointu;545
Taru;544
Ann;539
Ireene;538
Inger;537
Soile;533
Kukka-Maaria;530
Silvia;530
Natalie;527
Salme;527
Aura;525
Eriika;525
Angelica;524
Ottilia;524
Kaisla;520
Ellinoora;519
Auli;518
Elmiina;518
Kukka;518
Leea;518
Ava;517
Magdaleena;517
Sophia;515
Therese;513
Augusta;512
Gabriella;512
Terese;511
Josefin;504
Sarita;504
Elle;502
Marian;502
Annastiina;500
Sirkka-Liisa;500
Salla;498
Miina;496
Maiju;492
Eeva-Liisa;491
Terhi;490
Rose;488
Brita;483
Veronika;483
Helli;481
Catharina;480
Vilja;478
Ali;477
Saana;476
Cristina;475
Lilli;474
Sofi;467
Mariel;465
Nicole;465
Iita;461
Sandra;460
Kristine;457
Josefine;456
Hertta;454
Antonia;452
Jade;451
Pihla;447
Julianna;446
Aina;445
Pilvi;441
Stiina;441
Alissa;440
Sabina;440
Aallotar;439
Laina;439
Serafina;439
Mariana;436
Signe;436
Emmiina;435
Hanneli;433
Stina;433
Eira;432
Maila;431
Adelina;429
Mariaana;429
Pinja;429
Ulriikka;429
Margaret;427
Sigrid;427
Emilie;425
Kiia;425
Eine;421
Milena;420
Isabelle;418
Edla;415
Emelie;413
Alise;412
Bettina;412
Diana;411
Helga;410
Erin;407
Abdi;405
Agnes;405
Ingegärd;404
Merita;401
Sohvi;401
Catarina;398
Anne-Mari;396
Tuulevi;396
Heini;395
Nuppu;395
Aleksiina;394
Alicia;394
Else;392
Andrea;391
Elna;391
Jonna;390
Claudia;389
Neea;388
Kustaava;381
Viveka;381
Adelia;379
Janica;377
Marjanne;376
Vera;376
Nella;374
Marikki;373
Nelli;372
Inga-Lill;370
Melinda;370
Michelle;368
Alexsandra;367
Liisi;366
Jasmina;365
Lena;365
Ronja;363
Rosita;363
Angelina;362
Petriina;360
Aamu;359
Jessika;358
Lemmitty;358
Stella;357
Helka;356
Lumikki;356
Elea;355
Ines;354
Mary;354
Varpu;352
Hassan;350
Mea;349
Ainikki;348
Heljä;347
Henriika;347
Mielikki;345
Bertta;344
Tilda;341
Maj;340
Iisa;338
Rosanna;338
Elsi;336
Marja-Terttu;335
Nathalie;334
Aida;333
Hillervo;333
Mila;331
Anne-Marie;330
Mai;330
Jeanette;329
Estelle;328
Lisbeth;325
Eedit;324
Fiona;323
Salli;323
Adéle;321
Angela;320
Ulriika;320
Lilia;319
Armiida;318
Livia;316
Ruusu;314
Susann;314
Desiree;313
Erja;313
Kristin;313
Nora;313
Frida;312
Mariann;311
Rauni;311
Angelika;309
Ann-Marie;309
Eini;309
Illusia;306
Gunvor;304
Luna;304
Ramona;303
Rebecka;303
Hellen;300
Emily;297
Lauriina;297
Maj-Lis;297
Mette;295
Soili;293
Jenniina;291
Mariela;291
Margetta;290
Mona;286
Saaga;286
Hildegard;284
Ira;283
Abdullahi;282
Mimmi;281
Tea;281
Teija;281
Katharina;280
Hanne;278
Ilta;278
Mirva;278
Enna;276
Evelyn;275
Heta;274
Jennifer;274
Kielo;273
Maj-Britt;271
Marissa;271
Valborg;271
Eriikka;270
Tatjana;270
Virve;270
Hedvig;269
Henriette;269
Catherine;268
May;267
Viveca;267
Ellinor;266
Impi;266
Ilmi;265
Rita;264
Annamari;262
Lumina;262
Karelia;261
Aija;259
Anne-Maria;259
Gabriela;259
Marit;259
Ebba;258
Leona;258
Odessa;258
Hely;257
Josephine;257
Petronella;257
Adessa;256
Malviina;255
My;255
Grace;254
Larissa;253
Karina;252
Merituuli;252
Adalmina;251
Aniitta;251
Klaudia;251
Ruth;250
Alviina;248
Jane;248
Theresia;248
Armida;247
Hellikki;247
Kerstin;247
Emelia;244
Tamara;244
Caroliina;243
Isa;243
Theresa;243
Saija;242
Anna-Mari;241
Ilmatar;241
Pauline;241
Anna-Leena;239
Kia;238
Anne-Maj;237
Gunhild;237
Else-Maj;235
Carmen;234
Marietta;234
