name;count
Helga;1851
Eini;1837
Maisa;1836
Moona;1833
Hellin;1825
Patricia;1821
Reija;1820
Brita;1811
Elin;1797
Karolina;1795
Riitta-Liisa;1793
Mette;1775
Iisa;1764
Susan;1762
Lena;1737
Säde;1735
Mirella;1734
Charlotte;1733
Janna;1729
Mariia;1729
Miina;1728
Inger;1727
Henrietta;1714
Amelia;1710
Tilda;1708
Vivian;1702
Viktoria;1695
Kia;1682
Anna-Kaisa;1681
Kaisla;1679
Seela;1678
Kerstin;1653
Marja-Terttu;1651
Harriet;1629
Marleena;1628
Selina;1626
Sointu;1622
Aura;1612
Titta;1604
Laina;1597
Jasmine;1591
Pirita;1581
Lyyli;1575
Taika;1569
Miisa;1544
Valpuri;1538
Saima;1532
Helene;1531
Jasmiina;1519
Elle;1513
Ninni;1503
Stina;1501
Raisa;1500
Annette;1480
Kiira;1478
Tuovi;1474
Wilhelmina;1473
Ira;1463
Rebecca;1453
Else;1452
Ursula;1447
Ingegerd;1444
Leea;1432
Siviä;1430
Greta;1425
Pilvi;1425
Elvira;1424
Veronica;1420
Kirsi-Marja;1417
Helen;1412
Rakel;1409
Martina;1406
Mariitta;1404
Tia;1402
Anna-Mari;1375
Justiina;1355
Erin;1353
Marja-Riitta;1348
Eleonora;1347
Kanerva;1347
Benita;1344
Berit;1344
Diana;1338
Iines;1335
Enna;1333
Eleonoora;1325
Terhikki;1325
Agneta;1319
Yvonne;1310
Saaga;1309
Mea;1306
Siru;1300
Hanna-Leena;1288
Henni;1288
Ann-Mari;1276
Beatrice;1276
Lumia;1272
Thi;1272
Barbro;1264
Lovisa;1262
Hely;1261
Hanna-Mari;1260
Evelina;1252
Fredrika;1247
Anna-Leena;1246
Henrika;1235
Magdalena;1235
Anne-Maria;1225
Mailis;1220
Janica;1210
Siv;1195
Valma;1194
Raila;1192
Malin;1190
Kaarin;1189
Maj-Britt;1188
Tina;1186
Juuli;1182
Ava;1178
Liisi;1178
Elizabeth;1175
Amelie;1170
Madeleine;1158
Iita;1157
Lina;1155
Inna;1149
Ann;1146
Sohvi;1129
Mathilda;1125
Anne-Marie;1124
Kirsikka;1120
Caroline;1119
Aida;1116
Sarita;1107
Bertta;1103
Neela;1103
Svetlana;1103
Pirkko-Liisa;1099
Fiona;1092
Miranda;1090
Sarah;1086
Marjo-Riitta;1084
Edit;1073
Adeliina;1070
Serafiina;1070
Valentina;1070
Mariella;1062
Milka;1060
Paulina;1057
Auroora;1055
Peppiina;1055
Tinja;1055
Virva;1052
Aurelia;1045
Felicia;1041
Vellamo;1039
Alva;1037
Michaela;1036
Nanna;1034
Riia;1034
Aamu;1026
Vanamo;1023
Natalie;1021
Kira;1017
Sabina;1016
Gunvor;1015
Luna;1005
Ebba;1003
Mimmi;1000
Maija-Leena;996
Sanna-Mari;992
Ansa;981
Lilia;981
Tessa;973
Milena;972
Elna;970
Teresia;967
Annamari;966
Gunnel;963
Ellinoora;952
Ruth;949
Vilhelmina;948
Mohamed;941
Marlene;936
Silvia;935
Margareetta;930
Signe;930
Gun;929
Nadja;929
Ruut;929
Isa;927
Miriam;925
Sophie;922
Maarika;919
Sofi;918
Tatiana;916
Janni;915
Suoma;914
Verna;911
Åsa;909
Alissa;905
Ines;901
Beata;894
Kerttuli;894
Nicole;893
Annu;892
Juliaana;889
Hanna-Kaisa;888
Nelly;888
Jennifer;878
Lila;878
Katrina;869
Juliana;862
Julianna;853
Livia;853
Maj-Lis;851
Sophia;851
Ilmi;850
Jatta;850
Unna;849
Jessika;848
Pipsa;848
Veronika;848
Margareeta;846
Stiina;845
Claudia;844
Minka;840
Lemmikki;833
Meea;832
Annastiina;831
Lisbeth;819
Micaela;817
Agnes;816
Doris;809
Emily;809
Aina;807
Nita;806
Ina;805
Nuppu;804
Emelie;802
Rea;797
Michelle;794
Bettina;793
Annikka;791
Angelica;788
Kielo;787
Maya;787
Minni;787
Viena;784
Tatjana;780
Melinda;779
Minerva;778
Mary;769
Synnöve;765
Impi;764
Malla;762
Soilikki;754
Kastehelmi;750
Elea;748
Alicia;745
Josefin;743
Lucia;741
Dagmar;735
Ekaterina;734
Britta;733
Mirkka;733
Ida-Maria;732
Nathalie;731
Kukka-Maaria;728
Gabriella;726
Kukka;726
Merita;717
Maj;715
Ilse;707
Jasmina;707
Andrea;706
Jeanette;705
Christel;704
Josefine;698
Catharina;696
Serafia;694
Saini;691
Christa;689
Hanna-Maria;688
Tove;680
Bea;675
Kaino;674
Siri;672
Eedit;671
Edla;670
Adelina;668
Rosita;665
Tamara;665
Emilie;663
Marju;661
Mai;658
Ann-Marie;657
Eivor;651
Mariel;651
Jane;650
Eeva-Maria;649
Emmiina;649
Selja;648
Isabelle;644
Pirjo-Riitta;642
Rose;642
Rosanna;640
Viveka;640
Lily;639
Anne-Maj;638
Rebecka;638
Sigrid;636
Therese;636
Antonia;632
Linn;630
Tara;623
Marian;620
Eve;618
Larissa;617
Terese;617
Ria;615
Sarianna;613
Ahmed;610
Elmiina;610
Anna-Sofia;607
Ireene;607
Jelena;606
Ramona;606
Jenniina;601
Cristina;598
Angelina;592
Catarina;591
Jannika;591
Anne-Maarit;590
Eriika;590
Ritva-Liisa;588
Siina;588
Milana;583
Briitta;582
Hellä;582
Leona;580
Iida-Maria;579
Ottilia;578
Sinna;575
Mariana;570
Fiia;566
Marit;560
Adelia;558
Galina;556
Magdaleena;556
Susann;556
Lenita;551
Henna-Riikka;548
Pirjo-Liisa;544
Lara;543
Eija-Liisa;542
Lili;542
Silva;538
My;537
Sirja;537
Inga-Lill;534
Annemari;533
Noomi;532
Svea;528
Augusta;526
Karina;525
Kristine;522
Märta;521
Angela;520
Viveca;515
Hulda;514
Tua;512
Serafina;504
Ulpu;501
Alise;500
Soila;500
Yasmin;499
Pernilla;498
Liinu;497
Ruusu;497
Ilta;495
Ulriikka;495
Adessa;494
Ann-Christine;494
Eeva-Maija;494
Marikki;491
Sani;488
Sanna-Kaisa;487
Kreetta;485
Bella;483
Sade;480
Ali;479
Margaret;479
Meiju;477
Sanna-Maria;477
Lisbet;476
Pamela;473
Marissa;472
Mari-Anne;471
May;470
Hanneli;469
Else-Maj;468
Lidia;466
Amina;461
Ellinor;461
Teea;459
Maili;457
Roosa-Maria;456
Clara;453
Mariaana;452
Hannamari;445
Karla;444
Aallotar;442
Aleksiina;442
Cassandra;441
Ingegärd;440
Annica;439
Nana;439
Assi;438
Petriina;435
Margita;433
Maja;432
Mariam;428
Angelika;426
Ann-Christin;423
Carmen;423
Mandi;421
Gun-Britt;420
Tuulevi;418
Moa;416
Hedvig;413
Catherine;412
Riika;412
Hannah;411
Marjanne;411
Alexsandra;409
Gunhild;409
Samira;409
Leeni;408
Margarita;408
Abdi;407
Evelyn;407
Estelle;406
Louna;405
Valeria;405
Fatima;401
Kreeta;401
Lumina;401
Britt-Marie;400
Kamilla;400
